113,108,64,28,13,4,0,0,2,13,22,43,72,98,119,114
131,153,134,87,46,21,7,7,13,24,48,85,126,157,157,119
110,172,182,148,97,55,28,20,25,43,89,140,168,176,146,87
91,140,184,190,152,110,74,48,53,87,137,175,182,161,108,51
61,104,159,190,190,169,121,93,107,146,179,188,172,119,64,21
29,57,110,155,188,192,178,158,169,187,193,176,128,75,30,9
15,32,59,104,155,190,206,221,217,210,189,144,88,46,21,2
6,15,33,67,113,173,223,248,247,226,175,123,62,28,13,1
2,8,20,44,94,156,215,255,255,227,186,128,70,33,13,3
1,7,24,56,105,167,210,229,237,220,198,159,109,62,30,10
3,17,42,86,146,186,202,192,186,197,196,180,151,103,65,27
10,32,75,137,180,188,172,138,116,138,170,192,182,151,107,62
22,69,123,174,183,166,126,84,66,76,114,156,183,180,147,96
48,107,165,178,163,129,77,44,29,37,57,104,150,179,172,129
83,140,167,158,131,82,43,19,15,16,25,53,92,139,164,145
108,138,127,106,79,45,18,6,4,4,9,22,43,77,115,125
